x,y,radius,z
356.27,284.45,0.316,2.84
287.0,78.1,0.316,2.84
287.82,53.44,0.315,2.85
148.45,92.08,0.315,2.85
313.39,27.13,0.315,2.85
334.83,130.72,0.315,2.85
358.75,101.94,0.315,2.85
63.5,237.59,0.315,2.85
54.43,223.62,0.314,2.86
371.12,236.77,0.314,2.86
124.53,314.05,0.314,2.86
76.7,74.81,0.314,2.86
105.56,275.41,0.314,2.86
319.16,189.09,0.313,2.87
134.43,314.05,0.313,2.87
136.08,111.81,0.313,2.87
64.33,171.82,0.313,2.87
305.14,32.06,0.313,2.87
282.87,203.88,0.313,2.87
366.17,147.98,0.312,2.88
108.86,124.14,0.312,2.88
278.75,208.82,0.312,2.88
362.87,279.52,0.312,2.88
86.59,298.43,0.312,2.88
155.04,271.3,0.312,2.88
52.78,182.51,0.312,2.88
158.34,283.63,0.312,2.88
145.97,308.29,0.312,2.88
84.12,263.08,0.312,2.88
282.87,256.5,0.312,2.88
385.14,215.39,0.311,2.89
363.69,245.81,0.311,2.89
277.93,298.43,0.311,2.89
117.93,28.77,0.31,2.9
337.3,186.62,0.31,2.9
383.49,223.62,0.31,2.9
103.09,194.02,0.31,2.9
158.34,238.41,0.31,2.9
348.03,295.14,0.31,2.9
89.89,305.83,0.31,2.9
343.9,178.4,0.31,2.9
289.47,196.49,0.309,2.91
130.3,119.21,0.309,2.91
340.6,28.77,0.308,2.92
141.02,106.87,0.308,2.92
129.48,194.02,0.308,2.92
339.78,154.56,0.308,2.92
95.67,121.67,0.308,2.92
305.14,114.27,0.308,2.92
278.75,262.25,0.308,2.92
305.97,189.09,0.307,2.93
158.34,224.44,0.307,2.93
78.35,266.37,0.307,2.93
288.65,88.79,0.307,2.93
155.04,213.75,0.307,2.93
376.07,232.66,0.306,2.94
155.04,257.32,0.306,2.94
345.55,164.42,0.306,2.94
146.8,98.65,0.306,2.94
288.65,46.04,0.306,2.94
79.17,258.97,0.305,2.95
277.1,245.81,0.305,2.95
76.7,94.54,0.305,2.95
96.49,179.22,0.305,2.95
381.84,171.0,0.305,2.95
112.16,272.12,0.305,2.95
372.77,161.96,0.304,2.96
103.91,268.01,0.304,2.96
119.58,124.96,0.304,2.96
94.02,312.4,0.304,2.96
367.82,154.56,0.304,2.96
93.19,36.17,0.304,2.96
141.02,197.31,0.304,2.96
104.74,317.34,0.304,2.96
150.1,266.37,0.304,2.96
310.91,117.56,0.304,2.96
141.02,312.4,0.303,2.97
82.47,107.7,0.303,2.97
122.88,193.2,0.303,2.97
111.34,28.77,0.303,2.97
295.24,104.41,0.303,2.97
281.22,308.29,0.303,2.97
337.3,180.04,0.303,2.97
128.65,33.71,0.303,2.97
357.1,291.03,0.303,2.97
316.69,309.94,0.303,2.97
