x,y,radius,z
13.03,19.32,0.3,0.3
38.43,22.53,0.3,0.3
9.4,12.33,0.3,0.3
30.27,2.96,0.3,0.3
11.05,2.88,0.3,0.3
9.65,31.73,0.3,0.3
27.79,30.66,0.3,0.3
32.58,18.83,0.3,0.3
13.69,11.67,0.3,0.3
28.62,9.04,0.3,0.3
5.11,22.53,0.3,0.3
15.92,28.77,0.3,0.3
10.31,31.82,0.3,0.3
11.13,31.82,0.3,0.3
36.86,26.8,0.3,0.3
33.57,18.25,0.3,0.3
13.28,12.41,0.3,0.3
14.68,20.14,0.3,0.3
36.04,7.23,0.3,0.3
32.82,13.32,0.3,0.3
15.01,9.95,0.3,0.3
15.92,24.83,0.3,0.3
37.61,24.17,0.3,0.3
36.04,8.55,0.3,0.3
5.03,19.48,0.3,0.3
29.36,10.44,0.3,0.3
5.94,16.85,0.3,0.3
36.04,5.18,0.3,0.3
36.04,12.25,0.3,0.3
34.31,2.55,0.3,0.3
34.31,30.99,0.3,0.3
36.86,25.24,0.3,0.3
7.59,25.98,0.3,0.3
36.86,28.45,0.3,0.3
15.83,20.96,0.3,0.3
5.03,17.68,0.3,0.3
